player_name_ko,nationality,main_position,club_name_ko
무고사,Foreign,CF,인천 유나이티드
세징야,Foreign,CF,대구FC
에드가,Foreign,CF,대구FC
완델손,Foreign,LB,포항 스틸러스
델브리지,Foreign,CB,인천 유나이티드
잭슨,Foreign,CB,수원FC
일류첸코,Foreign,CF,FC서울
마틴 아담,Foreign,CF,울산 HD FC
바셀루스,Foreign,LW,대구FC
보야니치,Foreign,CM,울산 HD FC
아타루,Foreign,CAM,대전 하나 시티즌
오베르단,Foreign,CM,포항 스틸러스
헤이스,Foreign,LW,수원FC
제르소,Foreign,LW,인천 유나이티드
음포쿠,Foreign,CM,인천 유나이티드
루빅손,Foreign,LW,울산 HD FC
아사니,Foreign,RM,광주FC
안톤,Foreign,CB,대전 하나 시티즌
베카,Foreign,CF,대전 하나 시티즌
강투지,Foreign,CB,강원FC
보아텡,Foreign,CM,대전 하나 시티즌
벨톨라,Foreign,CM,FC서울
구텍,Foreign,CF,제주SK FC
가브리엘,Foreign,CF,포항 스틸러스
티아고,Foreign,CF,대전 하나 시티즌
포포비치,Foreign,CB,울산 HD FC
빅톨,Foreign,CF,수원FC
가브리엘,Foreign,RM,강원FC
켈빈,Foreign,LW,대구FC
비니시우스,Foreign,CF,대구FC
에르난데스,Foreign,LW,대전 하나 시티즌
아르한,Foreign,LWB,수원FC
탈레스,Foreign,RW,대구FC
이탈로,Foreign,CM,포항 스틸러스
브루노,Foreign,CB,대전 하나 시티즌
이탈로,Foreign,CF,대구FC
켈빈,Foreign,LW,대구FC
